"admin_area_1","admin_area_2","admin_area_3"
NA,"en Enugu State","en Enugu South Local Government Area"
NA,"en Enugu State","en Ezeagu Local Government Area"
NA,"en Enugu State","en Igbo-Etiti Local Government Area"
NA,"en Enugu State","en Igbo-Eze North Local Government Area"
NA,"en Enugu State","en Igbo-Eze South Local Government Area"
NA,"en Enugu State","en Isi-Uzo Local Government Area"
NA,"en Enugu State","en Nkanu East Local Government Area"
NA,"en Enugu State","en Nsukka Local Government Area"
NA,"en Enugu State","en Oji River Local Government Area"
NA,"en Enugu State","en Udenu Local Government Area"
NA,"en Enugu State","en Udi Local Government Area"
NA,"en Enugu State","en Uzo-Uwani Local Government Area"
NA,"fc Federal Capital Territory","fc Abaji Local Government Area"
NA,"fc Federal Capital Territory","fc Bwari Local Government Area"
NA,"fc Federal Capital Territory","fc Gwagwalada Local Government Area"
NA,"fc Federal Capital Territory","fc Kuje Local Government Area"
NA,"fc Federal Capital Territory","fc Kwali Local Government Area"
NA,"go Gombe State","go Akko Local Government Area"
NA,"go Gombe State","go Balanga Local Government Area"
NA,"go Gombe State","go Billiri Local Government Area"
NA,"go Gombe State","go Dukku Local Government Area"
NA,"go Gombe State","go Funakaye Local Government Area"
NA,"go Gombe State","go Gombe Local Government Area"
NA,"go Gombe State","go Kaltungo Local Government Area"
NA,"go Gombe State","go Kwami Local Government Area"
NA,"go Gombe State","go Nafada Local Government Area"
NA,"go Gombe State","go Shongom Local Government Area"
NA,"go Gombe State","go Yamaltu/Deba Local Government Area"
NA,"im Imo State","im Aboh-Mbaise Local Government Area"
NA,"im Imo State","im Ahiazu-Mbaise Local Government Area"
NA,"im Imo State","im Ehime-Mbano Local Government Area"
NA,"im Imo State","im Ezinihitte-Mbaise Local Government Area"
NA,"im Imo State","im Ideato North Local Government Area"
NA,"im Imo State","im Ideato South Local Government Area"
NA,"im Imo State","im Ihitte/Uboma Local Government Area"
NA,"im Imo State","im Ikeduru Local Government Area"
NA,"im Imo State","im Isiala Mbano Local Government Area"
NA,"im Imo State","im Isu Local Government Area"
NA,"im Imo State","im Ngor-Okpala Local Government Area"
NA,"im Imo State","im Njaba Local Government Area"
NA,"im Imo State","im Nkwerre Local Government Area"
NA,"im Imo State","im Nwangele Local Government Area"
NA,"im Imo State","im Obowo Local Government Area"
NA,"im Imo State","im Oguta Local Government Area"
NA,"im Imo State","im Ohaji/Egbema Local Government Area"
NA,"im Imo State","im Okigwe Local Government Area"
NA,"im Imo State","im Onuimo Local Government Area"
NA,"im Imo State","im Orlu Local Government Area"
NA,"im Imo State","im Orsu Local Government Area"
NA,"im Imo State","im Oru East Local Government Area"
NA,"im Imo State","im Oru West Local Government Area"
NA,"im Imo State","im Owerri Municipal Local Government Area"
NA,"im Imo State","im Owerri North Local Government Area"
NA,"im Imo State","im Owerri West Local Government Area"
NA,"ji Jigawa State","ji Auyo Local Government Area"
NA,"ji Jigawa State","ji Babura Local Government Area"
NA,"ji Jigawa State","ji Birnin Kudu Local Government Area"
NA,"ji Jigawa State","ji Birniwa Local Government Area"
NA,"ji Jigawa State","ji Buji Local Government Area"
NA,"ji Jigawa State","ji Dutse Local Government Area"
NA,"ji Jigawa State","ji Gagarawa Local Government Area"
NA,"ji Jigawa State","ji Garki Local Government Area"
NA,"ji Jigawa State","ji Gumel Local Government Area"
NA,"ji Jigawa State","ji Guri Local Government Area"
NA,"ji Jigawa State","ji Gwaram Local Government Area"
NA,"ji Jigawa State","ji Gwiwa Local Government Area"
NA,"ji Jigawa State","ji Hadejia Local Government Area"
NA,"ji Jigawa State","ji Jahun Local Government Area"
NA,"ji Jigawa State","ji Kafin Hausa Local Government Area"
NA,"ji Jigawa State","ji Kaugama Local Government Area"
NA,"ji Jigawa State","ji Kazaure Local Government Area"
NA,"ji Jigawa State","ji Kiri Kasamma Local Government Area"
NA,"ji Jigawa State","ji Kiyawa Local Government Area"
NA,"ji Jigawa State","ji Maigatari Local Government Area"
NA,"ji Jigawa State","ji Malam Madori Local Government Area"
NA,"ji Jigawa State","ji Miga Local Government Area"
NA,"ji Jigawa State","ji Ringim Local Government Area"
NA,"ji Jigawa State","ji Roni Local Government Area"
NA,"ji Jigawa State","ji Sule-Tankarkar Local Government Area"
NA,"ji Jigawa State","ji Taura Local Government Area"
NA,"ji Jigawa State","ji Yankwashi Local Government Area"
NA,"kd Kaduna State","kd Birnin Gwari Local Government Area"
NA,"kd Kaduna State","kd Chikun Local Government Area"
NA,"kd Kaduna State","kd Giwa Local Government Area"
NA,"kd Kaduna State","kd Igabi Local Government Area"
NA,"kd Kaduna State","kd Ikara Local Government Area"
NA,"kd Kaduna State","kd Jaba Local Government Area"
NA,"kd Kaduna State","kd Jema'a Local Government Area"
NA,"kd Kaduna State","kd Kachia Local Government Area"
NA,"kd Kaduna State","kd Kaduna North Local Government Area"
NA,"kd Kaduna State","kd Kaduna South Local Government Area"
NA,"kd Kaduna State","kd Kagarko Local Government Area"
NA,"kd Kaduna State","kd Kajuru Local Government Area"
NA,"kd Kaduna State","kd Kaura Local Government Area"
NA,"kd Kaduna State","kd Kauru Local Government Area"
NA,"kd Kaduna State","kd Kubau Local Government Area"
NA,"kd Kaduna State","kd Kudan Local Government Area"
NA,"kd Kaduna State","kd Lere Local Government Area"
NA,"kd Kaduna State","kd Makarfi Local Government Area"
NA,"kd Kaduna State","kd Sabon Gari Local Government Area"
NA,"kd Kaduna State","kd Sanga Local Government Area"
NA,"kd Kaduna State","kd Soba Local Government Area"
NA,"kd Kaduna State","kd Zangon Kataf Local Government Area"
NA,"kd Kaduna State","kd Zaria Local Government Area"
NA,"ke Kebbi State","ke Aleiro Local Government Area"
NA,"ke Kebbi State","ke Arewa Local Government Area"
NA,"ke Kebbi State","ke Argungu Local Government Area"
NA,"ke Kebbi State","ke Augie Local Government Area"
NA,"ke Kebbi State","ke Bagudo Local Government Area"
