facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
bTrZcZvOu9U,Niger,Tahoua,DS Tchintabaraden,Commune Tchintabaraden
BtW0QVRtYWt,Niger,Tillaberi,DS Ouallam,HD Ouallam
btZlmwYLLmM,Niger,Tillaberi,DS Ayorou,Commune Ayorou
bTZmguTAEpD,Niger,Dosso,DS Boboye,Commune de Birni N'Gaouré
BU0jhzatR9v,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
Bu1iHHyN7Wk,Niger,Dosso,DS Boboye,Commune de Harikanassou
bU6kJRT8jdF,Niger,Zinder,DS Damgaram Takaya,Commune Guidimouni
bULh9HzfSh0,Niger,Dosso,DS Dosso,Commune Kargui Bangou
bUTtMp2Er7M,Niger,Zinder,DS Magaria,Commune Magaria
bUwK1CLnoMl,Niger,Niamey,DS Niamey I,Commune 1er Arrondissement
bV2zbEzdmeR,Niger,Maradi,DS Tessaoua,Commune Tessaoua
BvE3knBsXpi,Niger,Maradi,DS Dakoro,Commune Sabonmachi
BvHKqrtwgif,Niger,Maradi,DS Dakoro,Commune Kornaka
bVsL3BRVWYW,Niger,Tillaberi,DS Gotheye,HD Gotheye
bvTn8vOfxNN,Niger,Tahoua,DS Tahoua,Commune Kalfou
BVxSvIPnrhX,Niger,Tillaberi,DS Gotheye,Commune Dargol
BvZhp5pNjiy,Niger,Tahoua,DS Tahoua,Commune Takamanat
BWDQq53rk37,Niger,Tahoua,DS Keita,Commune Garhanga
bwnb4yWxsxF,Niger,Zinder,DS Mirriah,Commune Droum
BwnP4Qc2mKp,Niger,Maradi,DS Mayahi,Commune Maireyreye
BwpYXG9piLF,Niger,Zinder,DS Tanout,Commune Tanout
BwqQfdj2Kt3,Niger,Tahoua,DS Abalak,Commune Akoubounou
bwVYfiV0g2h,Niger,Maradi,DS Aguié,Commune Aguie
bx8b3iqsS54,Niger,Maradi,DS Dakoro,Commune Kornaka
bxb3fyAQQJt,Niger,Dosso,DS Dioundou,Commune Dioundiou
BxOKIeit9Bu,Niger,Dosso,DS Tibiri,Commune Tibiri Doutchi
bxqfkz6BRnp,Niger,Tahoua,DS Bouza,HD Bouza
bXThnrYeLY3,Niger,Tillaberi,DS Ouallam,Commune Simiri
BXtigyUrQpN,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
bxVUJht2thy,Niger,Diffa,DS Diffa,Commune Chétimari
bXy148YItlt,Niger,Zinder,DS Mirriah,Commune Zermou
BXYNnb7q7N0,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
bY3UJXEJSoO,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
by8wjcEdtzQ,Niger,Tillaberi,DS Kollo,Commune Kollo
bYb4aknUars,Niger,Diffa,DS N'Guigmi,Commune N'Guigmi
Bybs24yXwWa,Niger,Tahoua,DS Tassara,Commune Tassara
bYej2tXPttk,Niger,Tahoua,DS Tahoua,Commune Kalfou
bYRmYdnpv0e,Niger,Zinder,DS Magaria,Commune Kwaya
bysIy9mvkfv,Niger,Zinder,DS Mirriah,Commune Mirriah
ByVulofQCWC,Niger,Tahoua,DS Birni Konni,Commune Alléla
bz0OMgU4v02,Niger,Agadez,DS Tchirozérine,Commune Tchirozérine
bZ2ldUPTIdE,Niger,Zinder,DS Zinder Ville,Commune 1er Arrondissement
BZ4YDZHL69C,Niger,Tahoua,DS Madaoua,Commune Madaoua
bzGgsNn4dI0,Niger,Agadez,DS Tchirozérine,Commune Tabelot
bZrPFBFRqvU,Niger,Maradi,DS Gazaoua,Commune Gangara Gazaoua
c0KlRG5Qae6,Niger,Tillaberi,DS Fillingue,HD Filingué
C0LX1PDkWMz,Niger,Zinder,DS Mirriah,Commune Gouna
C1IMUK5ULoF,Niger,Agadez,DS Agadez,Commune Agadez
C1iPKc8fqGX,Niger,Tahoua,DS Bouza,Commune Bouza
c1qh5DuvvGy,Niger,Dosso,DS Dosso,Commune Mokko
C2xFW0usiZW,Niger,Tahoua,DS Abalak,Commune Abalak
C2YuLCBE9Nc,Niger,Agadez,DS Arlit,Commune Gougaram
c2yY1zW2Kom,Niger,Maradi,DS Madarounfa,Commune Gabi
c41xhMSI39O,Niger,Tillaberi,DS Abala,Commune Sanam
C46ZzpDYukE,Niger,Dosso,DS Tibiri,Commune Tibiri Doutchi
c49db0QxY8p,Niger,Zinder,DS Tesker,Commune Tesker
c4oarJQzZ88,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
c4tov5CXPWs,Niger,Tahoua,DS Tchintabaraden,Commune Tchintabaraden
c4yu0bw9soU,Niger,Zinder,DS Matamèye,HD Matameye
C5o6Caj3vHE,Niger,Zinder,DS Zinder Ville,Commune 3è Arrondissement
c5odRRKR6Fo,Niger,Zinder,DS Damgaram Takaya,Commune Mazamni
c5P4yX8nlTL,Niger,Tahoua,DS Illéla,Commune Illéla
C60UB38u3uq,Niger,Dosso,DS Dogon Doutchi,Commune Doutchi
C6Hi4LMU6qX,Niger,Agadez,DS Ingall,Commune Ingall
c6JPLwDv9Lb,Niger,Tillaberi,DS Tillabery,Commune Anzourou
C7bfpGbTsNz,Niger,Maradi,DS Maradi Ville,Commune Maradi 2
C7ItQmR0A2E,Niger,Maradi,DS Tessaoua,Commune Korgom
C7nEJUZNI1d,Niger,Zinder,DS Matamèye,Commune Yaouri
C7PZZzdbykq,Niger,Tillaberi,DS Balleyara,Commune Tagazar
C7rXAuI3X0Y,Niger,Zinder,DS Mirriah,Commune Gaffaty
C8jpDmnGDCj,Niger,Maradi,DS Tessaoua,Commune Baoudeta
C8KPGnDSkPV,Niger,Zinder,DS Mirriah,Commune Dogo
C8SyQao86O9,Niger,Diffa,DS Mainé Soroa,HD Maine Soroa
C9mMuZc5Atk,Niger,Zinder,DS Matamèye,Commune Dan Barto
c9VhfShSRj1,Niger,Maradi,DS Aguié,Commune Aguie
C9YqI9Ij9rQ,Niger,Tahoua,DS Madaoua,Commune Madaoua
CA4vodqjOO1,Niger,Maradi,DS Tessaoua,Commune Tessaoua
cac9WeOafWI,Niger,Tahoua,DS Keita,Commune Ibohamane
CaCnJcjOaOO,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
cAD2kQujdT0,Niger,Maradi,DS Mayahi,Commune Mayahi
cAEjguF9VKX,Niger,Tahoua,DS Illéla,Commune Badaguichiri
caKCzHzPQgU,Niger,Tahoua,DS Bagaroua,Commune Bagaroua
caLlz68SpGj,Niger,Tahoua,DS Abalak,Commune Akoubounou
CaoNi0zxDpN,Niger,Maradi,DS Dakoro,Commune Dakoro
CaonYcnzlbJ,Niger,Zinder,DS Matamèye,Commune Doungou
