"admin_area_1","admin_area_2","admin_area_3"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Kabeya Kamwanga Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Kansele Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Kasansa Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Lubilanji Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Lukelenge Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Miabi Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Mpokolo Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Mukumbi Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Muya Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Nzaba Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Tshilenge Zone de Santé"
"République Démocratique du Congo","ke Kasai Oriental Province","ke Tshishimbi Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Boko Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Feshi Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kahemba Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kajiji Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kasongo Lunda Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kenge Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kimbao Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kisanji Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Kitenda Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Mwela Lembwa Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Panzi Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Popokabaka Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Tembo Zone de Santé"
"République Démocratique du Congo","kg Kwango Province","kg Wamba Lwadi Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Bagata Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Bandundu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Bulungu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Djuma Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Gungu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Idiofa Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Ipamu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Kikongo Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Kikwit Nord Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Kikwit Sud Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Kimputu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Kingandu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Koshibanda Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Lusanga Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Masi Manimba Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Moanza Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Mokala Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Mosango Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Mukedi Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Mungindu Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Pay Kongila Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Sia Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Vanga Zone de Santé"
"République Démocratique du Congo","kl Kwilu Province","kl Yasa Bonga Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Bandalungwa Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Barumbu Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Binza Meteo Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Binza Ozone Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Biyela Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Bumbu Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Gombe Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kalamu 1 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kalamu 2 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kasa Vubu Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kikimi Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kimbanseke Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kingabwa Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kingasani Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kinshasa Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kintambo Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kisenso Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Kokolo Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Lemba Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Limete Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Lingwala Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Makala Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Maluku 1 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Maluku 2 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Masina 1 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Masina 2 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Matete Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Mont Ngafula 1 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Mont Ngafula 2 Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Ndjili Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Ngaba Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Ngiri Ngiri Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Nsele Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Police Zone de Santé"
"République Démocratique du Congo","kn Kinshasa Province","kn Selembao Zone de Santé"
