facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
xuhe9DJJmPT,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
XUIt3UIrZhK,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
XVEEsT4ehka,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
XXhuCfIxyJW,République centrafricaine,RS 2,Préfecture MambereKadei,District Gamboula
xY7oD9dFrQ7,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
XyEUDocWkPC,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
y04qCPR4B9R,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
y1AApW31PeG,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
Y2g55yVC45N,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
y53hDVqKR4a,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
Y5GGCDfgd0a,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
Y7QeRYAH7dB,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
y7ugfE7SjuW,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
Y85SnsuKcQQ,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
Y8Nwav3Tky2,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
yABe1otM5XE,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
yBgZqYxiLld,République centrafricaine,RS 5,Préfecture Haute-Kotto,District Haute-Kotto
ycE85yy6sdH,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
ycJGBLKN0RO,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
YCV5WNVj3rQ,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
yDgrXvLLdSW,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
ydQZBL3HGsb,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
Ye0Le3tpab5,République centrafricaine,RS 1,Préfecture Lobaye,District Boda
YeCMo83LviW,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
YeQ3DTPUVEF,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
yfKQiQe240U,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
yg1eUC87SiZ,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 2
yGoY23PyZk3,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
YGzRJrR3oSi,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
YHLGc7VCuHk,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
yiOf5XBf6vy,République centrafricaine,RS 2,Préfecture MambereKadei,District Gamboula
YIvbzim06Lo,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
Yiz89wX5wbi,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
yJttwtuqDZz,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
yksmH8qNaiO,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
YkTW4vzdLIP,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
yLCNo349bfX,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
YltgNXb3uDV,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
ymTUK6q5n6G,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
YN0OtQ0W3cb,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
YNNfbZPI1n6,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
ynuDqRKKflI,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
YoBeLiHGJ9C,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
YRdwwgxkoVQ,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
ysiejvvTcMn,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
YssdoyfbHQS,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
ytLSQjhaX5K,République centrafricaine,RS 2,Préfecture MambereKadei,District Gamboula
YULS4n2na1p,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
YUOxcjaX4WD,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
yvf2SSqH40r,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
YvzurZ0Zqlo,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
ywL2BcmekOW,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
YWTgFrLPzLG,République centrafricaine,RS 3,Préfecture Ouham,District Bouca
yWtLSrTQaSp,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
yx7DK7udtaI,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
YxjNCVT6eXi,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
YxX6DPbMe1q,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
YZGdPZ9PTME,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
yzlt0uU0F0Q,République centrafricaine,RS 1,Préfecture Lobaye,District Boda
yZXcs3eVeyN,République centrafricaine,RS 2,Préfecture MambereKadei,District Gamboula
z0ZKSKuLN14,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
z1gMy9QPIrz,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
z4hiYR7Xi8G,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
z4NX7IdffOv,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
Z58JmXN3keh,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
Z9QKvX4rXEE,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
z9RTXd0n6kL,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
Za63IXkIvLZ,République centrafricaine,RS 7,Préfecture Bangui,"District Bangui 1  "
ZbRXMM78xCD,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
ZczAGXqmnCV,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
zdfp8xBo2m7,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
ZdHEfxrN2Cq,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
