"admin_area_1","admin_area_2","admin_area_3"
"Kenya","Siaya County","Bondo Sub County"
"Kenya","Siaya County","Gem Sub County"
"Kenya","Siaya County","Rarieda Sub County"
"Kenya","Siaya County","Ugenya Sub County"
"Kenya","Siaya County","Ugunja Sub County"
"Kenya","Taita Taveta County","Mwatate Sub County"
"Kenya","Taita Taveta County","Taveta Sub County"
"Kenya","Taita Taveta County","Voi Sub County"
"Kenya","Taita Taveta County","Wundanyi Sub County"
"Kenya","Tana River County","Bura Sub County"
"Kenya","Tana River County","Galole Sub County"
"Kenya","Tana River County","Garsen Sub County"
"Kenya","Tharaka Nithi County","Chuka Sub County"
"Kenya","Tharaka Nithi County","Igambangombe Sub County"
"Kenya","Tharaka Nithi County","Muthambi Sub County"
"Kenya","Tharaka Nithi County","Mwimbi Sub County"
"Kenya","Tharaka Nithi County","Tharaka North Sub County"
"Kenya","Tharaka Nithi County","Tharaka South Sub County"
"Kenya","Trans Nzoia County","Cherangany Sub County"
"Kenya","Trans Nzoia County","Endebess Sub County"
"Kenya","Trans Nzoia County","Kiminini Sub County"
"Kenya","Trans Nzoia County","Kwanza Sub County"
"Kenya","Trans Nzoia County","Saboti Sub County"
"Kenya","Turkana County","Aroo Sub County"
"Kenya","Turkana County","Kibish Sub County"
"Kenya","Turkana County","Loima Sub County"
"Kenya","Turkana County","Lokichoggio Sub County"
"Kenya","Turkana County","Lokiriama Sub County"
"Kenya","Turkana County","Suguta Sub county"
"Kenya","Turkana County","Turkana Central Sub County"
"Kenya","Turkana County","Turkana East Sub County"
"Kenya","Turkana County","Turkana North Sub County"
"Kenya","Turkana County","Turkana South Sub County"
"Kenya","Turkana County","Turkana West Sub County"
"Kenya","Uasin Gishu County","Ainabkoi Sub County"
"Kenya","Uasin Gishu County","Kapseret Sub County"
"Kenya","Uasin Gishu County","Kesses Sub County"
"Kenya","Uasin Gishu County","Moiben Sub County"
"Kenya","Uasin Gishu County","Soy Sub County"
"Kenya","Uasin Gishu County","Turbo Sub County"
"Kenya","Vihiga County","Emuhaya Sub County"
"Kenya","Vihiga County","Hamisi Sub County"
"Kenya","Vihiga County","Luanda Sub County"
"Kenya","Vihiga County","Sabatia Sub County"
"Kenya","Vihiga County","Vihiga Sub County"
"Kenya","Wajir County","Eldas Sub County"
"Kenya","Wajir County","Tarbaj Sub County"
"Kenya","Wajir County","Wajir East Sub County"
"Kenya","Wajir County","Wajir North Sub County"
"Kenya","Wajir County","Wajir South Sub County"
"Kenya","Wajir County","Wajir West Sub County"
"Kenya","West Pokot County","Kacheliba Sub County"
"Kenya","West Pokot County","Kipkomo Sub County"
"Kenya","West Pokot County","Pokot Central Sub County"
"Kenya","West Pokot County","Pokot North Sub County"
"Kenya","West Pokot County","Pokot South Sub County"
"Kenya","West Pokot County","West Pokot Sub County"
